transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,flashbots,bidder,penalty,ethPrice,revenue_eth,revenue_dollar
0x1decd228a5de144f4ed8b0b9e2dd89aadac0eea5437bfae14d61b7f3831e87f5,14856424,1653686673,93,15182266783552140,0,False,0x51aceb6e60635c770b97025596080f588b9bb7ba,476903730020088968,1720.8215281933128,0.46172146323653684,794.5402339663499
0xa71b8a16d93c600c46669f934e120aaa3c453f3c0b001a80cc9bed6275965268,14867502,1653841634,9,69984743926760130,0,False,0x51107b3b430440ea796e36a0d3c99fbd51bbad41,445551639068985406,1815.1567996186582,0.3755668951422253,681.7128034290779
0xbc98605bd8285c46d06a81732e070d4340232726db7ea3c5c25bdf7605a195bf,15389425,1661159683,12,9532255746135024,0,False,0xffb93dc622c18291bb8efa112764d8539f8c338c,264158503852335866,1622.6678068423164,0.2546262481062008,413.1738155789764
0x8c32869eb408515f258a9314bac46f03bae70c8ebe8c2876b1d496c9442676ab,15351515,1660641240,158,4631506757792070,0,False,0x51aceb6e60635c770b97025596080f588b9bb7ba,347294552086925756,1876.965221293152,0.3426630453291337,643.1666187051828
0x76be8a379e7dac13777204c9fab6d19b43a59b87471ca934e962196cb78a4d8c,15505205,1662761407,303,7332931353674100,0,False,0x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,489134454980603230,1718.49150797701,0.48180152362692913,827.9718268832625
0xf64fe145a6cbbe996b02efb9466564159e0817bc114fa6eadbf7b8dcea25857e,15505218,1662761672,88,8863999057658850,0,False,0x1cc3195c46c2f6af665ae281ad861eab88ed8fb5,489139490542376501,1718.49150797701,0.48027549148471765,825.349353605972
0x30679d279140ae26b8f13a4228346f14eb5da39d272b6dce7867ecf8f52210a7,15521877,1663000377,338,16225143227519700,0,False,0x9482c72cb018ee03d8c23395038b510ed4e6040c,224272852985117162,1711.4150412862646,0.20804770975759745,356.05597978431143
0x3a6c2fd79bb807cd95cc57e696e756189e4d7abe51cdd91829be4bb65dabd250,15403010,1661345371,108,5870318827365150,0,False,0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,3386291570136283167,1659.0620035101701,3.380421251308918,5608.328453904929
0x15fc507de5cd3e77f992835f67bf43e90835aff0dda8b344c1b3c6d3f627ae5e,15393599,1661216757,102,10859196003546366,0,False,0x175e393539e93720b962d186c70fdf1a362c8fd7,602393080990898315,1666.4382739664154,0.5915338849873519,985.7547062909708
0xb42661448d0719df375ad4b0d0013b1f775f3b1978feac55470f032dfaa4d524,15937586,1668058763,71,9981130530162900,0,False,0x99e32eef37bfba1973778c7b49db610398227575,2544949659666564146,1298.6117237510937,2.534968529136401,3291.939851276596
0x334e507ba8f404421ca34ef3d65d849ce3db317c74fe9c78e9c22110132add9f,15937252,1668054719,188,10295271160513350,0,False,0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,2605006284996195308,1298.6117237510937,2.594711013835682,3369.522142313103
